	sentiment	text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	 Wir waren in diesem Hotel. Nie wieder! Hilfe von der Rezeption! Fitness Fitness Fitness Fitness Atmosphäre Atmosphäre Atmosphäre Atmosphäre. Das Essen war einfach nur schlecht. Es gab jeden Tag das selbe. Die Auswahl an Speisen war sehr dürftig. Das Personal war sehr unfreundlich. Die meisten waren sehr unfreundlich. Es gab keine Abwechslung. Die Atmosphäre im Restaurant war sehr schlecht. Die Qualität der Speisen war eine Katastrophe. Die Tische wurden nicht abgeräumt. Das Personal war sehr unfreundlich. Es gab keine frischen Früchte. Die Säfte waren sehr schlecht. Es gab keine frischen Säfte. Das Essen war sehr schlecht. Es gab jeden Tag das	1.0537452103657006	['Fitness', 'Atmosphäre', 'Hilfe']	3	0
1	[negative]	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist in einem sehr schlechten Zustand. Es gibt nur Badezimmer, in dem man sich nicht wohl fühlt. In der Empfangshalle kann man nicht hin gehen, da die Toilettenspülung nicht funktioniert. Die Atmosphäre im Restaurant ist nicht besonders gut. Das Essen ist sehr schlecht. Es gibt immer das Gleiche. Es gibt jeden Tag das selbe. Die Kellner sind sehr unfreundlich. Es gibt keine Getränke an der Bar. Es gibt keine Poolbar. Es gibt nur eine Bar am Pool. Die Poolbar ist eine einzige Katastrophe. Man kann sich nicht an der Poolbar bedienen. Es gibt	1.0578364324687315	['Fitness', 'Empfang', 'Badezimmer']	3	1
2	[positive]	 Wir waren in diesem Hotel. Das Hotel ist sehr schön, die Lage sehr schön. Das Personal ist sehr freundlich und hilfsbereit. Die Lage des Hotels ist sehr gut. Wir hatten einen wunderschönen Urlaub. Die Zimmer sind sehr sauber. Das Essen ist sehr gut. Das Personal ist sehr freundlich und hilfsbereit. Wir haben uns dort sehr wohl gefühlt. Das Hotel ist sehr kinderfreundlich. Die Zimmer sind sehr sauber. Das Personal ist sehr hilfsbereit. Das Essen ist sehr gut. Das Personal ist sehr freundlich. Die Zimmer sind sehr sauber. Das Hotel hat eine sehr schöne Lage. Wir haben uns sehr wohl gefühlt. Das Personal ist sehr freundlich und hilfsbereit	1.0440473650011306	['Lage', 'Kosmetikartikel', 'Freizeit']	3	2
3	[negative]	 Wir waren in diesem Hotel. Das Essen war einfach nur schlecht. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe. Die Auswahl war sehr klein. Es gab jeden Tag das selbe. Es gab keine Abwechslung. Es gab jeden Tag das gleiche. Die Atmosphäre war sehr schlecht. Die Kellner waren sehr unfreundlich. Sie waren total unfreundlich. Es gab keine Auswahl. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe. Es	1.0424705539716506	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	2
4	[negative]	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist in einem sehr schlechten Zustand.Die Sauberkeit ist in diesem Hotel sehr schlecht.Das Essen ist einfach nur schlecht.Die Zimmer sind sehr klein und nicht sauber.Das Personal ist unfreundlich.Das Essen ist jeden Tag das selbe.Das Personal ist unfreundlich.Die Zimmer sind alt und nicht sauber.Das Personal ist nicht hilfsbereit.Das Hotel liegt in einem sehr schlechten Zustand.Die Zimmer sind sehr klein und nicht sauber.Das Personal ist sehr unfreundlich.Das Essen ist sehr schlecht.Das Personal ist sehr unfreundlich.Das Essen ist sehr schlecht.Das Hotel liegt in einem	1.058989689978979	['Sauberkeit', 'Badewanne', 'Eindruck']	3	2
5	[negative]	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist in einem sehr schlechten Zustand. Das Personal ist sehr unfreundlich. Die Zimmer sind sehr klein. Das Essen ist sehr schlecht. Die Zimmermädchen sind sehr unfreundlich. Die Atmosphäre in diesem Hotel ist eine Katastrophe. Es ist sehr laut. Die Zimmer sind nicht sauber. Die Liegen am Strand sind unzumutbar. Wir können dieses Hotel nicht weiterempfehlen. Das Hotel verfügt über keine Möglichkeiten, sich zu erholen. Das Hotel hat einen sehr schlechten Ruf. Das Hotel hat einen sehr schlechten Strand. Die Handtücher sind sehr schmutzig. Das Personal ist sehr unfreundlich. Die Zimmer sind sehr klein	1.0682225781591732	['Atmosphäre', 'Personal', 'Handtuch']	3	0
6	[negative]	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist in einem sehr schlechten Zustand. Das Personal ist sehr unfreundlich. Die Poolanlage ist sehr schmutzig. Das Essen ist eine Katastrophe. Es gab jeden Tag das selbe. Die Animateure sind sehr unfreundlich. Die Zimmer sind in einem sehr schlechten Zustand. Das Zimmermädchen hat sich sehr geärgert. Sie hat sich jeden Tag mit dem Nachbarzimmer beschäftigt. Das Personal an der Rezeption war sehr unfreundlich. Die Zimmerreinigung war auch nicht in Ordnung. Die Zimmer wurden nicht richtig gereinigt. Das Personal an der Bar war sehr unfreundlich. Das Essen war sehr schlecht. Es gab	1.0576808159040143	['Schwimmbad', 'Personal', 'Zimmerservice']	3	2
7	[negative]	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist in einem sehr schlechten Zustand. Die Zimmer sind sehr laut und die Klimaanlage lief nicht richtig. Die Anlage ist sehr heruntergekommen. Die Zimmer werden nicht richtig gereinigt. Das Essen ist nur lauwarm, jeden Tag das selbe. Es gibt nur ein Hauptrestaurant und ein Poolrestaurant. Die Preise sind unverschämt. Das Personal ist sehr unfreundlich. Die Zimmer sind in einem sehr schlechten Zustand. Die Damen an der Rezeption sind sehr unfreundlich. Die Zimmer werden nur sporadisch gereinigt. Das Personal an der Bar ist sehr unfreundlich. Das Personal an der Bar ist sehr un	1.052937913475118	['Preis', 'Klimaanlage', 'Haustier']	3	1
8	[negative]	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist in einem sehr schlechten Zustand. Die Zimmer sind sehr klein. Das Essen ist sehr schlecht. Viele kleine Kinder. Die Handtücher werden nicht gewechselt. Es gibt keine Spielmöglichkeiten. Die Liegen am Strand und am Pool sind sehr dreckig. Die Poolbar ist sehr klein. Die Kellner sind sehr unfreundlich. Es gibt keine Getränke im Restaurant. Es gibt keine Getränke im Restaurant. Die Zimmer sind sehr klein. Die Betten sind sehr beqüm. Es gibt in diesem Hotel keine Ruhe. Es gibt keine Möglichkeit sich zu unterhalten. Es gibt keine Möglichkeit sich zu unterhalten. Es gibt	1.07008673160241	['Kind', 'Restaurant', 'Handtuch']	3	0
9	[negative]	 Wir waren in diesem Hotel. Das Hotel ist in einem sehr schlechten Zustand. Die Zimmer sind einfach nur ekelhaft. Das Essen ist eine Katastrophe. Jeden Tag das selbe und jeden Tag das selbe. Das Personal ist unfreundlich und macht den Eindruck, als hätte man nichts verstanden. Die Zimmer sind dreckig und total verdreckt. Die Zimmer werden nicht richtig gereinigt. Die Zimmer werden nicht richtig gereinigt, die Badewanne ist total verdreckt und der Duschvorhang kaputt. Die Zimmer werden nicht richtig gereinigt. Der Spa Bereich ist eine Katastrophe. Das Personal ist sehr unfreundlich und macht den Eindruck, als hätte man nichts verstanden. Die Zimmer werden	1.0890860526942787	['Badewanne', 'Rechnung', 'Spa']	3	1
10	[positive]	 Wir waren in diesem Hotel. Das Hotel ist sehr schön. Die Atmosphäre ist sehr angenehm. Wir haben uns sehr wohl gefühlt. Das Personal ist sehr freundlich und hilfsbereit. Wir haben uns sehr wohl gefühlt. Das Essen war sehr gut. Es war für jeden was dabei. Wir hatten Halbpension. Das Frühstück war sehr gut. Es gab jeden Tag ein anderes Thema. Es war für jeden was dabei. Auch das Abendessen war sehr gut. Es gab jeden Tag ein Thema. Es war für jeden was dabei. Es war für jeden was dabei. Es war für jeden was dabei. Es war für jeden was dabei. Es war für jeden was dabei	1.0600221099095155	['Atmosphäre', 'Studio', 'Empfang']	3	2
11	[negative]	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist in einem sehr schlechten Zustand.Die Zimmer sind sehr klein. Die Handtücher werden nicht gewechselt, die Betten nicht gemacht. Das Essen ist sehr schlecht. Die Poolbar ist eine Katastrophe. Es gibt keine Ruhe. Die Poolbar ist sehr laut. Wir haben uns bei der Rezeption beschwert. Sie hat auf den ersten Blick kein Verständnis für uns. Als wir dann nach dem ersten Tag im Hotel waren, wurde uns gesagt, dass das Hotel nicht mehr zu empfehlen ist. Wir haben uns ein anderes Hotel gesucht. Das Essen war sehr schlecht. Die Anlage ist sehr klein. Es gibt keine	1.063133309896128	['Handtuch', 'Heizung', 'Minibar']	3	2
12	[negative]	 Wir waren in diesem Hotel. Die Zimmer waren sehr dreckig. Die Betten waren dreckig und durchgelegen. Das Bad war dreckig und die Dusche eine Badewanne. Das Zimmer war dreckig und nicht sauber. Das Bett war dreckig und die Matratze war dreckig. Das Bett war dreckig und die Bettwäsche wurde nicht gewechselt. Die Handtücher waren dreckig und die Bettwäsche wurde nicht gewechselt. Die Zimmer waren sehr dreckig. Die Klimaanlage funktionierte nicht. Das Personal war sehr unfreundlich. Die Zimmer waren sehr dreckig. Das Essen war sehr schlecht. Die Getränke waren sehr schlecht. Es gab immer das gleiche. Die Getränke waren sehr	1.0713842802987703	['Badewanne', 'Kaffee', 'Kind']	3	2
13	[negative]	 Wir waren in diesem Hotel. Das Essen war einfach nur schlecht. Es gab immer das Gleiche und jeden Tag das selbe. Es gab keine Abwechslung. Es gab immer das selbe und jeden Tag das selbe. Es gab jeden Tag das selbe und jeden Tag das gleiche. Die Sauberkeit war sehr schlecht. Die Zimmer waren sehr dreckig. Die Dusche war dreckig und die Toilettenspülung funktionierte nicht. Es gab jeden Tag das selbe und jeden Tag das selbe. Es gab jeden Tag das selbe und jeden Tag das selbe. Es gab jeden Tag das selbe und jeden Tag das selbe. Das Personal war sehr unfreundlich und hat sich kaum um die	1.0482096098290656	['Hilfe', 'Leistungs', 'Sauberkeit']	3	2
14	[negative]	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist in einem sehr schlechten Zustand. Das Essen ist sehr schlecht. Das Personal ist sehr unfreundlich. Die Zimmer sind in einem sehr schlechten Zustand. Die Dusche ist sehr klein. Die Zimmer werden nicht richtig gereinigt. Die Betten sind in einem sehr schlechten Zustand. Das Personal ist sehr unfreundlich. Die Getränke sind sehr schlecht. Das Essen ist sehr schlecht. Die Zimmer sind in einem sehr schlechten Zustand. Der Strand ist sehr klein. Die Liegen sind in einem sehr schlechten Zustand. Die Animation ist sehr schlecht. Das Personal ist sehr unfreundlich. Die Poolbar ist in einem sehr schlechten	1.056948753665802	['Sehenswürdigkeit', 'Fenster', 'Dusche']	3	2
15	[negative]	 Wir waren in diesem Hotel. Nie wieder! Lage des Hotels ist sehr schlecht. Die Zimmer sind sehr klein. Das Essen ist sehr schlecht, die Atmosphäre ist sehr schlecht. Die Kellner sind sehr unfreundlich. Die Damen an der Rezeption waren sehr unfreundlich. Das Personal an der Bar war sehr unfreundlich. Die Tischdecken waren schmutzig, die Tischdecken wurden nicht gewechselt. Das Personal an der Bar war sehr unfreundlich. Das Personal an der Bar war sehr unfreundlich. Das Essen war sehr schlecht. Das Personal an der Bar war sehr unfreundlich. Das Personal an der Bar war sehr unfreundlich. Das Personal an der Bar war	1.063576782084199	['Badewanne', 'Atmosphäre', 'Lage']	3	1
