	sentiment	text	gen_text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	[negative] Wir waren in diesem Hotel. Es ist einfach nur eine Zumutung, die Atmosphäre im Hotel war einfach nur schlecht und der Fitnessbereich war auch nicht der Hilfe wert. Man hat sich in diesem Hotel total unwohlgefühlt. Das Personal war unfreundlich und hatte keine Lust mehr. Die Bar war auch total schlecht. Man mußte sich wirklich eine Scheibe abschneiden, wenn man ein Hotel bucht. Der Pool war dreckig und total in die Jahre gekommen. Die Tische wurden von den Gästen einfach nur nicht aufgefüllt, es wurde auch nicht	 Wir waren in diesem Hotel. Es ist einfach nur eine Zumutung, die Atmosphäre im Hotel war einfach nur schlecht und der Fitnessbereich war auch nicht der Hilfe wert. Man hat sich in diesem Hotel total unwohlgefühlt. Das Personal war unfreundlich und hatte keine Lust mehr. Die Bar war auch total schlecht. Man mußte sich wirklich eine Scheibe abschneiden, wenn man ein Hotel bucht. Der Pool war dreckig und total in die Jahre gekommen. Die Tische wurden von den Gästen einfach nur nicht aufgefüllt, es wurde auch nicht	1.065064635711464	['Fitness', 'Atmosphäre', 'Hilfe']	3	0
1	[negative]	[negative] Wir waren in diesem Hotel.Zimmer waren schmutzig, das Badezimmer war dreckig und ekelig.Fitness-geräte gab es nur in Fitnessempfang Empfang: nicht zu empfehlen!Der Pool war dreckig!Es waren auch nicht genug Liegen, die man reservieren hatte!Es waren auch nicht genug Sitzgelegenheiten für die Gäste.Die Pools waren dreckig.Es waren nur zwei Liegen für die Gäste am Strand und der andere für die Bar.Die Pools waren sehr dreckig. Es wurde nicht richtig gereinigt.Das Essen war das Letzte!	 Wir waren in diesem Hotel.Zimmer waren schmutzig, das Badezimmer war dreckig und ekelig.Fitness-geräte gab es nur in Fitnessempfang Empfang: nicht zu empfehlen!Der Pool war dreckig!Es waren auch nicht genug Liegen, die man reservieren hatte!Es waren auch nicht genug Sitzgelegenheiten für die Gäste.Die Pools waren dreckig.Es waren nur zwei Liegen für die Gäste am Strand und der andere für die Bar.Die Pools waren sehr dreckig. Es wurde nicht richtig gereinigt.Das Essen war das Letzte!	1.0985537674147743	['Fitness', 'Empfang', 'Badezimmer']	3	0
2	[positive]	[positive] Wir waren in diesem Hotel. Die Lage ist super. Der Sandstrand ist direkt vor der Tür und das Essen ist auch gut. Die Getränke sind super und das Personal ist freundlich. Die Leute an der Rezeption sind super nett und sprechen gut deutsch. Die Zimmer sind sehr sauber und die Zimmer sind auch sehr gepflegt. Der Strand ist auch schön und der Pool ist auch sehr schön. Die Animation und die Bar sind auch sehr gut. Für Jugendliche ist der Service auch sehr gut. Wir waren sehr zufrieden und werden wieder kommen. Wir haben uns sehr	 Wir waren in diesem Hotel. Die Lage ist super. Der Sandstrand ist direkt vor der Tür und das Essen ist auch gut. Die Getränke sind super und das Personal ist freundlich. Die Leute an der Rezeption sind super nett und sprechen gut deutsch. Die Zimmer sind sehr sauber und die Zimmer sind auch sehr gepflegt. Der Strand ist auch schön und der Pool ist auch sehr schön. Die Animation und die Bar sind auch sehr gut. Für Jugendliche ist der Service auch sehr gut. Wir waren sehr zufrieden und werden wieder kommen. Wir haben uns sehr	1.07338043718215	['Lage', 'Kosmetikartikel', 'Freizeit']	3	2
3	[negative]	[negative] Wir waren in diesem Hotel. Die Zimmer und die Einrichtung der Zimmer sind absolut nicht in Ordnung. Die Betten sind durchgelegen und die Matratzen durchgelegen. Die Badezimmer sind in einem katastrophalen Zustand. Die Badewanne war eine absolute Zumutung und die Atmosphäre im Zimmer war sehr schlecht. Die Lage der Erreichbarkeit der Hotelzimmer waren sehr schlecht und es war wirklich sehr hellhörig. Das Hotel verfügt über keine Rezeption im Hotel. Wenn man einen Schlüssel in der Hosentasche hat, dann hat man den Hotelmanager nie gesehen. Man wird nicht in einen	 Wir waren in diesem Hotel. Die Zimmer und die Einrichtung der Zimmer sind absolut nicht in Ordnung. Die Betten sind durchgelegen und die Matratzen durchgelegen. Die Badezimmer sind in einem katastrophalen Zustand. Die Badewanne war eine absolute Zumutung und die Atmosphäre im Zimmer war sehr schlecht. Die Lage der Erreichbarkeit der Hotelzimmer waren sehr schlecht und es war wirklich sehr hellhörig. Das Hotel verfügt über keine Rezeption im Hotel. Wenn man einen Schlüssel in der Hosentasche hat, dann hat man den Hotelmanager nie gesehen. Man wird nicht in einen	1.0703004390522832	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	0
4	[negative]	[negative] Wir waren in diesem Hotel. Das Zimmer war nicht sauber. Die Dusche hatte keinen Duschvorhang und einen Badewanne nur einen Eindruck Sauberkeit war sehr schlecht. Die Möbel waren alt und dreckig. Das war nicht mal eine Sterne Kategorie. Man hatte das Gefühl es liegt am Hotel. Das Essen war nicht abwechslungsreich. Das Hotel war für Russen nicht zu empfehlen. Die Russen waren in diesem Hotel sehr schlecht. Die Tische wurden nie eingedeckt, kein Teller und immer das gleiche, kein Besteck usw. Die Getränke waren nicht trinkbar. Die Speisen waren	 Wir waren in diesem Hotel. Das Zimmer war nicht sauber. Die Dusche hatte keinen Duschvorhang und einen Badewanne nur einen Eindruck Sauberkeit war sehr schlecht. Die Möbel waren alt und dreckig. Das war nicht mal eine Sterne Kategorie. Man hatte das Gefühl es liegt am Hotel. Das Essen war nicht abwechslungsreich. Das Hotel war für Russen nicht zu empfehlen. Die Russen waren in diesem Hotel sehr schlecht. Die Tische wurden nie eingedeckt, kein Teller und immer das gleiche, kein Besteck usw. Die Getränke waren nicht trinkbar. Die Speisen waren	1.1062204833433205	['Sauberkeit', 'Badewanne', 'Eindruck']	3	0
5	[negative]	[negative] Wir waren in diesem Hotel. Personal Atmosphäre Handtuchwechsel im Zimmer dreckig. Essen sehr schlecht. Frühstück schlecht, Käse und Wurst nicht gut. Kaffee total schlecht. Kaffee aus Automaten ungenießbar. Obst ist viel zu süß. Saft gibt es in einem anderen Zimmer. Die Getränke sind sehr billig. Essen sehr schlecht. Das Frühstück war die ganze Woche nicht anders. Obstauswahl sehr gering. Die Bedienung war sehr unfreundlich. Es gab nicht einmal eine Begrüßung, es hatte auch kaum was zu essen. Die Bedienung an den Bars war sehr	 Wir waren in diesem Hotel. Personal Atmosphäre Handtuchwechsel im Zimmer dreckig. Essen sehr schlecht. Frühstück schlecht, Käse und Wurst nicht gut. Kaffee total schlecht. Kaffee aus Automaten ungenießbar. Obst ist viel zu süß. Saft gibt es in einem anderen Zimmer. Die Getränke sind sehr billig. Essen sehr schlecht. Das Frühstück war die ganze Woche nicht anders. Obstauswahl sehr gering. Die Bedienung war sehr unfreundlich. Es gab nicht einmal eine Begrüßung, es hatte auch kaum was zu essen. Die Bedienung an den Bars war sehr	1.1617021960397766	['Atmosphäre', 'Personal', 'Handtuch']	3	0
6	[negative]	[negative] Wir waren in diesem Hotel. Die Zimmer waren dreckig, es gab keine Klimaanlage und man hörte jedes Wort der Nachbarn. Das Badezimmer war dreckig und das Wasser wurde nicht richtig gereinigt. Handtücher waren dreckig und die Bettwäsche wurde auch nicht gewechselt. Die Zimmer waren sehr dreckig. Klimaanlage und Handtücher wurden auch nicht gewechselt. Zimmerreinigung war schlecht. Handtücher wurden auch nicht gewechselt. Die Zimmerreinigung war nicht gut. Handtücher wurden nicht gewechselt. Handtücher wurden auch nicht gewechselt. Es gab nur ein Zimmer mit Klimaanlage. Zimmer war nicht sauber.	 Wir waren in diesem Hotel. Die Zimmer waren dreckig, es gab keine Klimaanlage und man hörte jedes Wort der Nachbarn. Das Badezimmer war dreckig und das Wasser wurde nicht richtig gereinigt. Handtücher waren dreckig und die Bettwäsche wurde auch nicht gewechselt. Die Zimmer waren sehr dreckig. Klimaanlage und Handtücher wurden auch nicht gewechselt. Zimmerreinigung war schlecht. Handtücher wurden auch nicht gewechselt. Die Zimmerreinigung war nicht gut. Handtücher wurden nicht gewechselt. Handtücher wurden auch nicht gewechselt. Es gab nur ein Zimmer mit Klimaanlage. Zimmer war nicht sauber.	1.0758279682888472	['Schwimmbad', 'Personal', 'Zimmerservice']	3	3
7	[negative]	[negative] Wir waren in diesem Hotel. Die Sauberkeit in dem Hotel war absolut nicht zu empfehlen. Das Essen war einfach nur schlecht. Das Frühstück war auch nicht wirklich gut. Jeden Tag das gleiche und jeden Tag das gleiche und das jeden Tag. Das Geschirr war schmutzig und die Zimmer waren auch nicht wirklich sauber. Die Zimmer hatten jeden Tag das gleiche und das war auch alles sehr schmutzig. Das Personal war auch nicht sehr freundlich. Die Zimmer waren immer dreckig und man hat sich immer beschwert. Das Hotel ist wirklich dreckig und auch die Zimmer sind	 Wir waren in diesem Hotel. Die Sauberkeit in dem Hotel war absolut nicht zu empfehlen. Das Essen war einfach nur schlecht. Das Frühstück war auch nicht wirklich gut. Jeden Tag das gleiche und jeden Tag das gleiche und das jeden Tag. Das Geschirr war schmutzig und die Zimmer waren auch nicht wirklich sauber. Die Zimmer hatten jeden Tag das gleiche und das war auch alles sehr schmutzig. Das Personal war auch nicht sehr freundlich. Die Zimmer waren immer dreckig und man hat sich immer beschwert. Das Hotel ist wirklich dreckig und auch die Zimmer sind	1.062135191171594	['Preis', 'Klimaanlage', 'Haustier']	3	3
8	[negative]	[negative] Wir waren in diesem Hotel. Das Essen war nicht sehr gut. Die Kinder essen nicht gern. Restaurant war schmutzig. Handtuchhalter an der Bar sehr dreckig. Man hat sich die ganze Zeit auf dreckige Toiletten, Gläser und Besteck beschränkt. Die Tische und die Schränke waren sehr dreckig. Das Personal war unmotiviert. Die Getränke waren sehr teür. Der Pool war sehr laut und das Bad auch sehr dreckig. Die Klimaanlage wurde nicht eingeschaltet, das einzige was es gab war ein Ventilator. Das Personal war sehr un	 Wir waren in diesem Hotel. Das Essen war nicht sehr gut. Die Kinder essen nicht gern. Restaurant war schmutzig. Handtuchhalter an der Bar sehr dreckig. Man hat sich die ganze Zeit auf dreckige Toiletten, Gläser und Besteck beschränkt. Die Tische und die Schränke waren sehr dreckig. Das Personal war unmotiviert. Die Getränke waren sehr teür. Der Pool war sehr laut und das Bad auch sehr dreckig. Die Klimaanlage wurde nicht eingeschaltet, das einzige was es gab war ein Ventilator. Das Personal war sehr un	1.0978134423588275	['Kind', 'Restaurant', 'Handtuch']	3	0
9	[negative]	[negative] Wir waren in diesem Hotel. Die Hotelanlage ist sehr heruntergekommen. Die Hotelhalle ist sehr schmutzig und die Tische und Stühle in der Hotelhalle sind schmutzig. Die Hotelanlage ist sehr dreckig und in einem schlechten Zustand. Die Hotelhalle ist sehr schmutzig und die Hotelgäste sind sehr unfreundlich. Das Essen ist ungenießbar und die Zimmer sind auch sehr dreckig. Die Zimmer sind sehr heruntergekommen und die Hotelbar ist auch sehr schlecht. Die Zimmer wurden nie gereinigt und die Handtücher wurden auch nie gewechselt. Die Hotelhalle	 Wir waren in diesem Hotel. Die Hotelanlage ist sehr heruntergekommen. Die Hotelhalle ist sehr schmutzig und die Tische und Stühle in der Hotelhalle sind schmutzig. Die Hotelanlage ist sehr dreckig und in einem schlechten Zustand. Die Hotelhalle ist sehr schmutzig und die Hotelgäste sind sehr unfreundlich. Das Essen ist ungenießbar und die Zimmer sind auch sehr dreckig. Die Zimmer sind sehr heruntergekommen und die Hotelbar ist auch sehr schlecht. Die Zimmer wurden nie gereinigt und die Handtücher wurden auch nie gewechselt. Die Hotelhalle	1.0648491016779682	['Badewanne', 'Rechnung', 'Spa']	3	3
