	sentiment	text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	 Wir waren in diesem Hotel. Das Essen war ungenießbar. Es gab jeden Tag das selbe. Es gab nicht einmal frisches Obst. Es gab kein frisches Brot. Es gab nur eine Sorte Wurst. Die Atmosphäre war sehr schlecht. Es gab nur eine Sorte Brot. Das Wasser war kalt. Der Kaffee war ungenießbar. Es gab nur eine Sorte Tee. Es gab kein warmes Wasser. Der Kaffee war ungenießbar. Es gab nur eine Sorte Milch. Es gab nur eine Sorte Wasser. Es gab nur Wasser. Es gab nur eine Sorte Wasser. Es gab nur eine Sorte Wasser. Es gab nur eine Sorte Wasser. Es	1.0570155190229755	['Fitness', 'Atmosphäre', 'Hilfe']	3	2
1	[negative]	 Wir waren in diesem Hotel. Der Service war schlecht. Die Zimmerreinigung war auch nicht gerade gut. Das Essen war sehr schlecht. Es gab immer das selbe. Es gab nur eine Sorte Fleisch, eine Sorte Fisch, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Fleisch, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse, eine Sorte Gemüse	1.061842628927501	['Fitness', 'Empfang', 'Badezimmer']	3	3
2	[positive]	 Wir waren in diesem Hotel. Die Zimmer sind sehr groß und sauber. Es gibt einen kleinen Kühlschrank, einen Safe, ein Telefon, eine Minibar, einen Fernseher und einen kleinen Kühlschrank. Das Bad ist sehr groß und sehr sauber. Es gibt auch einen kleinen Kühlschrank, den wir aber nicht genutzt haben. Das Zimmer war sehr sauber und das Bett sehr beqüm. Die Lage ist sehr schön und man kann zu Fuß in den Ort fahren. Das Personal ist sehr freundlich und hilfsbereit. Das Essen ist sehr gut und abwechslungsreich. Es gibt auch eine große Auswahl an warmen Speisen. Es gibt jeden Tag das gleiche und es gibt immer etwas zu essen	1.0758222932993808	['Lage', 'Kosmetikartikel', 'Freizeit']	3	2
3	[negative]	 Wir waren in diesem Hotel. Das Essen war ungenießbar. Es gab nur eine Sorte Wurst und eine Sorte Käse. Das Fleisch war sehr trocken. Das Gemüse war sehr wenig gewürzt. Es gab nur eine Sorte Fleisch. Das Brot war sehr trocken. Es gab nur eine Sorte Brot. Das Brot war sehr trocken. Es gab nur eine Sorte Wurst und eine Sorte Käse. Das Brot war sehr trocken. Es gab nur eine Sorte Brot. Das Brot war sehr trocken. Es gab nur eine Sorte Brot. Das Brot war sehr trocken. Es gab nur eine Sorte Brot. Das Brot war sehr trocken. Es gab nur eine Sorte Brot	1.056108857342355	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	3
4	[negative]	 Wir waren in diesem Hotel. Das Essen war ungenießbar. Es gab so gut wie keine Abwechslung. Das Personal ist sehr unfreundlich. Die Sauberkeit im Restaurant ist sehr schlecht. Die Tische werden nicht abgeräumt, die Stühle nicht sauber gemacht. Das Wasser in der Badewanne wird nicht aufgefüllt. Das Personal ist sehr unfreundlich. Man wird nicht in Ruhe gelassen. Das Essen ist sehr schlecht. Es gibt nur eine Sorte Wurst und eine Sorte Käse. Es gibt immer das gleiche. Es gibt immer das gleiche. Das Personal ist sehr unfreundlich. Das Wasser in der Badewanne wird nicht aufgefüllt. Das Wasser in der Dusche wird nicht	1.0550604668447576	['Sauberkeit', 'Badewanne', 'Eindruck']	3	1
5	[negative]	 Wir waren in diesem Hotel. Das Essen war ungenießbar. Personal unfreundlich und unmotiviert. Das Personal war sehr unfreundlich. Die Zimmerreinigung war sehr schlecht. Die Handtücher wurden täglich gewechselt. Das Zimmer war dreckig. Das Bett war durchgelegen. Die Bettwäsche wurde jeden Tag gewechselt. Die Handtücher wurden auch nicht gewechselt. Das Essen war ungenießbar. Das Personal war sehr unfreundlich. Das Essen war ungenießbar. Das Personal war sehr unfreundlich. Die Zimmerreinigung war sehr schlecht. Die Handtücher wurden jeden Tag gewechselt. Das Zimmer war dreckig. Das Personal war sehr unfreundlich. Das Essen war ungen	1.0506734454359188	['Atmosphäre', 'Personal', 'Handtuch']	3	1
6	[negative]	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist in einem sehr schlechten Zustand. Die gesamte Anlage ist sehr schmutzig. Personal ist sehr unfreundlich. Das Essen ist sehr schlecht. Das Personal ist sehr unfreundlich. Das Personal ist sehr unfreundlich. Das Essen ist sehr schlecht. Das Personal ist sehr unfreundlich. Das Essen ist sehr schlecht. Das Personal ist sehr unfreundlich. Das Essen ist sehr schlecht. Das Personal ist sehr unfreundlich. Das Essen ist sehr schlecht. Das Personal ist sehr unfreundlich. Das Essen ist sehr schlecht. Das Essen ist sehr schlecht. Das Essen ist sehr schlecht. Das Essen ist sehr schlecht	1.0623942403058375	['Schwimmbad', 'Personal', 'Zimmerservice']	3	2
7	[negative]	 Wir waren in diesem Hotel. Das Essen war ungenießbar. Es gab jeden Tag das selbe. Die Preise sind auch nicht gerade günstig. Es gibt immer das gleiche. Beim Frühstück gab es immer das selbe. Das Brot war sehr trocken. Es gab eine Sorte Wurst und eine Sorte Käse. Nach dem Frühstück gab es immer das selbe. Das Brot war sehr trocken. Es gab eine Sorte Wurst und eine Sorte Käse. Nach dem Frühstück gab es immer das selbe. Das Essen war sehr schlecht. Es gab immer das selbe. Es gab immer das gleiche. Die Klimaanlage funktionierte nicht richtig. Es gab immer das gleiche. Es gab immer das	1.0718345922197487	['Preis', 'Klimaanlage', 'Haustier']	3	1
8	[negative]	 Wir waren in diesem Hotel. Das Essen war ungenießbar. Es gab jeden Tag das gleiche Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe in anderen Restaurants. Das Personal war sehr unfreundlich. Es gibt keine Handtücher bei der Ankunft. Es gab nur eine Person an der Rezeption, die sich um Sauberkeit kümmerte. Sie war sehr unfreundlich. Es gab nur eine Person an der Rezeption, die sich um die Kinder kümmerte. Sie war sehr unfreundlich. Es gab nur einen Mitarbeiter an der Rezeption, der sich um die Kinder kümmerte. Es gab nur einen Mitarbeiter an der Rezeption, der	1.0519054807467607	['Kind', 'Restaurant', 'Handtuch']	3	0
9	[negative]	 Wir waren in diesem Hotel. Das Essen war ungenießbar. Es gab immer das gleiche Essen. Es gab so gut wie keine Abwechslung. Es gab immer das selbe Essen. Es gab immer das selbe Essen. Ich habe selten so eine schlechte Qualität gesehen. Die Qualität der Speisen war sehr schlecht. Es gab immer das gleiche Essen. Es gab immer das gleiche Essen. Es gab immer das gleiche Essen. Es gab immer das gleiche Essen. Es gab immer das gleiche Essen. Ich habe selten so eine schlechte Qualität gesehen. Die Qualität der Speisen war sehr schlecht. Es gab immer das gleiche Essen. Es gab immer das gleiche Essen. Es	1.0464877646428858	['Badewanne', 'Rechnung', 'Spa']	3	3
